Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
36.0,PhD,11.0,Education,Research Assistant,Medium,Entry,26.0,60.0,77.0,Low,2.0,1.0,14.0,4.0,Low
43.0,High School,17.0,Retail,Inventory Analyst,Large,Entry,57.0,36.0,20.0,Medium,4.0,7.0,43.0,16.0,High
57.0,High School,14.0,Finance,Accountant,Medium,Entry,56.0,41.0,67.0,Medium,2.0,11.0,30.0,8.0,High
50.0,Master's,6.0,Retail,Sales Associate,Large,Entry,19.0,82.0,38.0,Low,0.0,4.0,14.0,3.0,Low
36.0,Bachelor's,9.0,Finance,Accountant,Small,Mid,93.0,0.0,52.0,High,5.0,27.0,83.0,70.0,High
32.0,Master's,11.0,Finance,Financial Analyst,Small,Entry,55.0,43.0,21.0,Medium,4.0,5.0,36.0,12.0,High
30.0,High School,6.0,Manufacturing,Quality Engineer,Large,Entry,77.0,12.0,94.0,High,9.0,22.0,52.0,55.0,High
56.0,Master's,11.0,Education,Teacher,Large,Entry,91.0,1.0,96.0,High,9.0,26.0,74.0,68.0,High
43.0,Master's,7.0,Education,Academic Coordinator,Small,Senior,71.0,4.0,32.0,Medium,4.0,7.0,34.0,21.0,Low
39.0,PhD,7.0,Retail,Inventory Analyst,Large,Mid,25.0,68.0,88.0,Low,2.0,4.0,24.0,3.0,Low
36.0,Master's,2.0,Manufacturing,Operator,Small,Mid,48.0,55.0,94.0,Medium,3.0,13.0,43.0,14.0,Medium
37.0,Master's,6.0,Finance,Auditor,Medium,Entry,46.0,56.0,57.0,Medium,4.0,11.0,35.0,29.0,Medium
56.0,Bachelor's,6.0,Healthcare,Health Analyst,Small,Mid,63.0,26.0,38.0,Medium,4.0,7.0,28.0,17.0,Medium
48.0,Master's,16.0,Retail,Store Manager,Large,Mid,12.0,92.0,77.0,Low,0.0,0.0,8.0,7.0,Low
26.0,Master's,1.0,Logistics,Warehouse Manager,Large,Mid,56.0,44.0,94.0,Medium,5.0,9.0,42.0,8.0,Medium
40.0,PhD,5.0,Manufacturing,Operator,Medium,Entry,66.0,24.0,94.0,Medium,5.0,9.0,35.0,12.0,Medium
56.0,Bachelor's,13.0,Retail,Inventory Analyst,Medium,Mid,50.0,46.0,82.0,Low,0.0,0.0,33.0,0.0,Medium
33.0,Master's,4.0,Education,Teacher,Large,Senior,78.0,26.0,89.0,Medium,3.0,9.0,52.0,27.0,Low
21.0,Bachelor's,0.0,Retail,Store Manager,Large,Entry,35.0,68.0,91.0,Low,0.0,4.0,24.0,0.0,Medium
55.0,Bachelor's,10.0,Education,Academic Coordinator,Medium,Senior,32.0,63.0,72.0,Low,1.0,0.0,19.0,2.0,Low
24.0,Bachelor's,1.0,Manufacturing,Production Supervisor,Medium,Mid,81.0,18.0,73.0,Medium,3.0,7.0,74.0,22.0,High
25.0,Bachelor's,4.0,Retail,Inventory Analyst,Large,Mid,84.0,41.0,70.0,Medium,3.0,10.0,65.0,22.0,High
50.0,Bachelor's,13.0,Education,Teacher,Small,Mid,47.0,61.0,94.0,Low,2.0,1.0,39.0,2.0,Low
49.0,Bachelor's,0.0,Logistics,Warehouse Manager,Large,Mid,86.0,13.0,62.0,Medium,2.0,11.0,66.0,27.0,High
31.0,High School,8.0,Logistics,Supply Chain Analyst,Medium,Entry,65.0,44.0,46.0,Medium,2.0,6.0,30.0,23.0,High
25.0,High School,2.0,Manufacturing,Production Supervisor,Medium,Mid,21.0,65.0,65.0,Low,0.0,2.0,10.0,8.0,Medium
42.0,High School,0.0,Retail,Inventory Analyst,Large,Senior,70.0,31.0,71.0,Medium,4.0,12.0,40.0,26.0,High
48.0,Master's,5.0,Manufacturing,Operator,Small,Entry,16.0,62.0,22.0,Low,2.0,3.0,11.0,1.0,Medium
55.0,Bachelor's,13.0,Telecom,Operations Analyst,Small,Mid,37.0,56.0,63.0,Low,0.0,0.0,26.0,3.0,Low
30.0,High School,8.0,Telecom,Support Specialist,Medium,Mid,17.0,97.0,59.0,Low,0.0,4.0,16.0,5.0,Low
54.0,Bachelor's,8.0,Retail,Store Manager,Medium,Entry,42.0,55.0,94.0,Low,2.0,5.0,39.0,7.0,Medium
23.0,PhD,0.0,Logistics,Supply Chain Analyst,Small,Entry,84.0,22.0,23.0,High,10.0,23.0,63.0,21.0,High
28.0,Bachelor's,7.0,IT,Software Engineer,Large,Entry,35.0,57.0,39.0,Low,0.0,3.0,27.0,0.0,Medium
58.0,Bachelor's,3.0,Healthcare,Health Analyst,Medium,Entry,59.0,43.0,29.0,Medium,3.0,12.0,29.0,6.0,Medium
57.0,High School,18.0,Healthcare,Health Analyst,Small,Mid,47.0,35.0,68.0,Low,0.0,5.0,24.0,1.0,Low
31.0,Bachelor's,9.0,Telecom,Operations Analyst,Large,Entry,23.0,75.0,79.0,Low,0.0,2.0,21.0,9.0,Low
45.0,Master's,7.0,Finance,Financial Analyst,Medium,Mid,48.0,57.0,57.0,Low,0.0,0.0,30.0,8.0,Medium
22.0,Bachelor's,1.0,Telecom,Operations Analyst,Small,Senior,16.0,84.0,70.0,Low,2.0,4.0,11.0,0.0,Low
59.0,Bachelor's,6.0,Logistics,Dispatcher,Large,Mid,36.0,79.0,93.0,Low,0.0,5.0,26.0,5.0,Low
56.0,Bachelor's,20.0,Manufacturing,Operator,Medium,Mid,77.0,13.0,64.0,Medium,4.0,8.0,64.0,8.0,High
47.0,Bachelor's,15.0,IT,ML Engineer,Small,Senior,47.0,48.0,65.0,Low,2.0,3.0,36.0,9.0,Low
38.0,Master's,7.0,Finance,Auditor,Large,Mid,77.0,23.0,24.0,Medium,3.0,5.0,52.0,13.0,High
49.0,High School,11.0,Manufacturing,Operator,Large,Senior,10.0,100.0,40.0,Low,2.0,0.0,6.0,4.0,Low
46.0,Bachelor's,3.0,Education,Teacher,Large,Entry,91.0,0.0,91.0,Medium,4.0,7.0,49.0,26.0,High
27.0,High School,6.0,Manufacturing,Quality Engineer,Small,Entry,38.0,80.0,47.0,Low,1.0,4.0,20.0,0.0,Medium
40.0,Master's,19.0,Healthcare,Medical Assistant,Medium,Entry,80.0,3.0,20.0,Medium,4.0,12.0,51.0,23.0,High
50.0,Bachelor's,0.0,IT,ML Engineer,Small,Mid,49.0,34.0,66.0,Medium,3.0,6.0,33.0,26.0,Medium
50.0,Bachelor's,3.0,Manufacturing,Operator,Large,Senior,41.0,61.0,29.0,Low,0.0,3.0,38.0,1.0,Medium
28.0,High School,2.0,Healthcare,Health Analyst,Small,Entry,68.0,57.0,86.0,Medium,4.0,5.0,57.0,19.0,High
55.0,Master's,13.0,Finance,Auditor,Large,Entry,46.0,44.0,73.0,Low,1.0,1.0,39.0,6.0,Medium
41.0,High School,4.0,Manufacturing,Operator,Small,Mid,69.0,36.0,88.0,Medium,5.0,14.0,44.0,6.0,High
32.0,Master's,6.0,Retail,Store Manager,Medium,Senior,33.0,77.0,81.0,Low,1.0,0.0,15.0,1.0,Low
34.0,Master's,13.0,Education,Teacher,Medium,Entry,82.0,19.0,68.0,Medium,3.0,14.0,68.0,17.0,High
57.0,Bachelor's,9.0,IT,ML Engineer,Medium,Mid,85.0,5.0,46.0,High,5.0,19.0,65.0,26.0,High
37.0,Bachelor's,16.0,Education,Academic Coordinator,Medium,Mid,73.0,30.0,84.0,Medium,4.0,9.0,63.0,8.0,Medium
49.0,Bachelor's,1.0,IT,Software Engineer,Medium,Entry,63.0,29.0,74.0,Medium,2.0,12.0,37.0,5.0,High
40.0,High School,9.0,Education,Academic Coordinator,Large,Mid,82.0,14.0,92.0,Medium,5.0,5.0,59.0,5.0,High
60.0,Master's,1.0,Retail,Store Manager,Large,Mid,21.0,74.0,83.0,Low,0.0,4.0,20.0,0.0,Low
32.0,Bachelor's,6.0,Retail,Inventory Analyst,Large,Mid,30.0,78.0,89.0,Low,0.0,1.0,24.0,8.0,Low
46.0,High School,9.0,Finance,Accountant,Medium,Senior,35.0,61.0,26.0,Low,1.0,2.0,31.0,6.0,Low
51.0,Master's,7.0,Logistics,Supply Chain Analyst,Large,Entry,26.0,61.0,79.0,Low,0.0,1.0,21.0,2.0,Low
60.0,Bachelor's,0.0,Healthcare,Nurse,Large,Mid,34.0,53.0,77.0,Low,1.0,3.0,15.0,1.0,Low
54.0,High School,10.0,Logistics,Dispatcher,Large,Mid,41.0,84.0,29.0,Low,1.0,0.0,30.0,6.0,Medium
21.0,Bachelor's,0.0,Healthcare,Medical Assistant,Small,Entry,71.0,26.0,56.0,Medium,2.0,13.0,36.0,28.0,High
57.0,Master's,10.0,Telecom,Network Engineer,Small,Entry,65.0,37.0,81.0,Medium,2.0,6.0,55.0,29.0,Medium
24.0,Bachelor's,3.0,Retail,Inventory Analyst,Small,Entry,50.0,66.0,22.0,Medium,3.0,11.0,36.0,21.0,High
40.0,PhD,11.0,Manufacturing,Quality Engineer,Small,Entry,59.0,42.0,22.0,Medium,5.0,7.0,46.0,10.0,High
45.0,High School,16.0,Education,Academic Coordinator,Large,Entry,38.0,79.0,28.0,Low,0.0,4.0,25.0,1.0,Low
35.0,High School,8.0,Logistics,Supply Chain Analyst,Medium,Entry,27.0,67.0,59.0,Low,0.0,5.0,24.0,2.0,Medium
60.0,Bachelor's,12.0,Retail,Store Manager,Large,Mid,49.0,69.0,92.0,Medium,2.0,9.0,24.0,14.0,Medium
47.0,Master's,11.0,Finance,Financial Analyst,Small,Senior,67.0,43.0,61.0,Medium,3.0,9.0,36.0,11.0,Low
56.0,Bachelor's,16.0,IT,ML Engineer,Small,Entry,36.0,67.0,36.0,Low,0.0,2.0,21.0,5.0,Low
27.0,Bachelor's,4.0,Retail,Inventory Analyst,Large,Entry,69.0,36.0,41.0,Medium,5.0,8.0,33.0,8.0,High
47.0,Master's,11.0,Retail,Store Manager,Medium,Entry,91.0,2.0,78.0,Medium,2.0,11.0,82.0,15.0,High
35.0,Master's,10.0,Finance,Auditor,Small,Entry,55.0,51.0,32.0,Medium,2.0,11.0,48.0,19.0,High
49.0,Master's,13.0,IT,Software Engineer,Small,Entry,76.0,19.0,75.0,Medium,5.0,9.0,50.0,24.0,High
25.0,PhD,4.0,Finance,Accountant,Medium,Senior,24.0,68.0,44.0,Low,1.0,3.0,12.0,7.0,Low
45.0,Master's,10.0,Education,Teacher,Large,Mid,12.0,92.0,93.0,Low,1.0,0.0,6.0,6.0,Low
40.0,Bachelor's,12.0,Retail,Sales Associate,Small,Mid,72.0,14.0,21.0,Medium,5.0,12.0,71.0,15.0,High
37.0,Bachelor's,6.0,Logistics,Supply Chain Analyst,Small,Mid,42.0,33.0,60.0,Low,0.0,0.0,32.0,8.0,Medium
35.0,Bachelor's,6.0,Healthcare,Health Analyst,Medium,Mid,83.0,17.0,49.0,Medium,2.0,8.0,52.0,26.0,High
58.0,Master's,17.0,Logistics,Supply Chain Analyst,Small,Entry,58.0,48.0,94.0,Medium,4.0,13.0,55.0,22.0,Medium
28.0,Master's,7.0,Logistics,Warehouse Manager,Large,Entry,16.0,90.0,25.0,Low,1.0,5.0,11.0,9.0,Low
34.0,Master's,5.0,Retail,Store Manager,Small,Senior,54.0,41.0,72.0,Low,2.0,3.0,24.0,1.0,Low
39.0,Bachelor's,14.0,Finance,Auditor,Large,Senior,12.0,86.0,80.0,Low,0.0,5.0,10.0,0.0,Low
50.0,Master's,8.0,Telecom,Support Specialist,Medium,Mid,29.0,76.0,79.0,Low,0.0,1.0,26.0,3.0,Low
54.0,Master's,19.0,Telecom,Support Specialist,Medium,Senior,67.0,47.0,34.0,Medium,2.0,7.0,45.0,12.0,Low
50.0,PhD,6.0,Logistics,Dispatcher,Small,Senior,50.0,43.0,81.0,Low,1.0,0.0,38.0,3.0,Low
26.0,Bachelor's,4.0,IT,ML Engineer,Medium,Entry,44.0,43.0,59.0,Medium,5.0,12.0,43.0,8.0,Medium
51.0,Bachelor's,9.0,Finance,Accountant,Large,Entry,29.0,58.0,27.0,Low,1.0,3.0,22.0,8.0,Medium
57.0,Bachelor's,13.0,Telecom,Operations Analyst,Large,Mid,65.0,45.0,80.0,Medium,5.0,6.0,31.0,18.0,Medium
57.0,Master's,8.0,Education,Teacher,Medium,Mid,87.0,2.0,76.0,Medium,2.0,11.0,63.0,28.0,Medium
43.0,Bachelor's,11.0,Retail,Store Manager,Small,Entry,54.0,38.0,85.0,Medium,2.0,11.0,28.0,12.0,Medium
58.0,Master's,8.0,Retail,Inventory Analyst,Large,Senior,83.0,19.0,49.0,High,5.0,26.0,79.0,46.0,High
24.0,Bachelor's,3.0,Logistics,Supply Chain Analyst,Small,Mid,62.0,46.0,81.0,Medium,5.0,6.0,48.0,22.0,Medium
29.0,Bachelor's,7.0,Telecom,Network Engineer,Small,Mid,13.0,89.0,38.0,Low,0.0,2.0,6.0,0.0,Low
27.0,High School,6.0,Manufacturing,Quality Engineer,Medium,Entry,80.0,0.0,52.0,High,5.0,30.0,55.0,68.0,High
58.0,Bachelor's,9.0,Retail,Store Manager,Medium,Mid,12.0,80.0,85.0,Low,1.0,3.0,10.0,4.0,Low
45.0,Bachelor's,14.0,Logistics,Dispatcher,Medium,Mid,53.0,22.0,89.0,Low,1.0,1.0,29.0,4.0,Medium
36.0,Bachelor's,12.0,Finance,Accountant,Large,Entry,30.0,72.0,32.0,Low,0.0,3.0,18.0,4.0,Medium
47.0,Master's,7.0,IT,Software Engineer,Medium,Mid,45.0,47.0,23.0,Medium,3.0,13.0,23.0,15.0,Low
30.0,Bachelor's,6.0,Retail,Store Manager,Large,Entry,65.0,40.0,84.0,Medium,2.0,12.0,51.0,17.0,High
33.0,Bachelor's,8.0,Telecom,Support Specialist,Large,Senior,18.0,87.0,61.0,Low,0.0,1.0,11.0,4.0,Low
44.0,Bachelor's,7.0,Logistics,Supply Chain Analyst,Small,Mid,64.0,48.0,88.0,Medium,3.0,5.0,47.0,27.0,Medium
42.0,High School,5.0,Telecom,Network Engineer,Medium,Mid,41.0,45.0,76.0,Low,1.0,0.0,24.0,1.0,Medium
27.0,Bachelor's,4.0,Healthcare,Medical Assistant,Medium,Mid,33.0,83.0,79.0,Low,1.0,1.0,28.0,6.0,Low
56.0,High School,15.0,IT,Data Analyst,Large,Entry,17.0,68.0,87.0,Low,0.0,0.0,13.0,1.0,Low
47.0,Bachelor's,2.0,Manufacturing,Quality Engineer,Medium,Entry,67.0,41.0,22.0,Low,2.0,1.0,47.0,6.0,High
28.0,Bachelor's,2.0,Manufacturing,Quality Engineer,Small,Senior,40.0,53.0,81.0,Low,1.0,0.0,34.0,6.0,Medium
37.0,High School,0.0,Logistics,Supply Chain Analyst,Large,Entry,93.0,2.0,84.0,High,10.0,20.0,82.0,37.0,High
52.0,High School,15.0,Retail,Sales Associate,Large,Mid,23.0,74.0,85.0,Low,0.0,4.0,22.0,1.0,Low
29.0,Bachelor's,8.0,Retail,Store Manager,Large,Senior,15.0,85.0,99.0,Low,0.0,3.0,10.0,9.0,Low
58.0,Master's,16.0,IT,ML Engineer,Medium,Senior,39.0,53.0,26.0,Low,1.0,0.0,18.0,4.0,Low
47.0,PhD,3.0,Education,Teacher,Medium,Mid,34.0,79.0,97.0,Low,1.0,5.0,24.0,3.0,Low
26.0,High School,5.0,IT,ML Engineer,Medium,Entry,77.0,28.0,32.0,Medium,4.0,8.0,46.0,22.0,High
26.0,Bachelor's,0.0,Logistics,Dispatcher,Medium,Entry,11.0,100.0,30.0,Low,2.0,0.0,6.0,6.0,Medium
55.0,High School,15.0,Healthcare,Nurse,Large,Entry,16.0,80.0,68.0,Low,2.0,0.0,12.0,4.0,Low
49.0,Bachelor's,11.0,Finance,Accountant,Small,Senior,71.0,51.0,26.0,Low,2.0,4.0,69.0,5.0,Medium
22.0,High School,1.0,Finance,Auditor,Medium,Mid,30.0,64.0,58.0,Low,0.0,0.0,27.0,4.0,Medium
41.0,Bachelor's,8.0,Finance,Auditor,Medium,Mid,64.0,31.0,45.0,Medium,4.0,13.0,59.0,24.0,High
41.0,PhD,2.0,Retail,Sales Associate,Small,Entry,18.0,80.0,77.0,Low,0.0,3.0,14.0,6.0,Low
42.0,High School,15.0,Finance,Auditor,Medium,Entry,41.0,74.0,63.0,Medium,2.0,12.0,35.0,29.0,Medium
21.0,High School,0.0,Retail,Inventory Analyst,Small,Entry,14.0,61.0,50.0,Low,1.0,3.0,12.0,3.0,Medium
27.0,Bachelor's,5.0,IT,ML Engineer,Medium,Mid,17.0,94.0,83.0,Low,0.0,0.0,11.0,8.0,Low
23.0,High School,2.0,Finance,Financial Analyst,Medium,Mid,50.0,49.0,29.0,Medium,2.0,8.0,35.0,16.0,High
22.0,Master's,1.0,Education,Academic Coordinator,Large,Mid,20.0,97.0,29.0,Low,2.0,0.0,13.0,8.0,Low
34.0,Bachelor's,7.0,Retail,Inventory Analyst,Medium,Senior,39.0,63.0,70.0,Low,1.0,0.0,38.0,7.0,Low
52.0,Bachelor's,12.0,Education,Teacher,Medium,Mid,30.0,66.0,72.0,Low,2.0,3.0,25.0,5.0,Low
45.0,Master's,16.0,Manufacturing,Quality Engineer,Small,Entry,38.0,55.0,69.0,Low,2.0,2.0,34.0,6.0,Medium
33.0,Master's,12.0,Healthcare,Health Analyst,Medium,Entry,32.0,63.0,48.0,Low,0.0,4.0,22.0,7.0,Low
36.0,Master's,4.0,Manufacturing,Quality Engineer,Medium,Senior,13.0,84.0,29.0,Low,0.0,5.0,10.0,6.0,Low
22.0,Bachelor's,1.0,Education,Teacher,Small,Mid,63.0,30.0,76.0,Low,1.0,4.0,51.0,8.0,Medium
36.0,High School,12.0,IT,Data Analyst,Medium,Senior,67.0,24.0,39.0,Low,1.0,5.0,35.0,2.0,Medium
58.0,High School,17.0,Finance,Accountant,Medium,Entry,66.0,26.0,64.0,Medium,5.0,7.0,33.0,28.0,High
24.0,High School,3.0,Retail,Inventory Analyst,Medium,Mid,28.0,79.0,68.0,Low,2.0,5.0,13.0,2.0,Low
32.0,Master's,11.0,Manufacturing,Production Supervisor,Medium,Entry,64.0,45.0,74.0,Medium,2.0,13.0,51.0,26.0,High
37.0,Bachelor's,2.0,Education,Teacher,Medium,Entry,24.0,87.0,75.0,Low,2.0,0.0,18.0,9.0,Low
30.0,Bachelor's,9.0,Retail,Sales Associate,Large,Entry,55.0,27.0,45.0,Medium,3.0,9.0,28.0,8.0,High
24.0,High School,3.0,Manufacturing,Production Supervisor,Large,Senior,33.0,76.0,73.0,Low,1.0,3.0,28.0,8.0,Low
44.0,Bachelor's,7.0,Logistics,Dispatcher,Small,Entry,16.0,83.0,54.0,Low,1.0,5.0,14.0,9.0,Low
26.0,High School,5.0,Manufacturing,Operator,Medium,Entry,93.0,17.0,40.0,High,8.0,16.0,81.0,52.0,High
26.0,Bachelor's,5.0,IT,ML Engineer,Large,Entry,23.0,77.0,76.0,Low,0.0,2.0,12.0,6.0,Low
44.0,Bachelor's,8.0,Manufacturing,Operator,Medium,Senior,21.0,70.0,69.0,Low,0.0,3.0,10.0,9.0,Low
42.0,High School,14.0,Finance,Accountant,Large,Mid,50.0,76.0,58.0,Medium,3.0,10.0,35.0,6.0,Medium
41.0,High School,18.0,Manufacturing,Production Supervisor,Medium,Entry,83.0,0.0,58.0,Medium,3.0,12.0,60.0,19.0,High
30.0,Master's,0.0,Finance,Auditor,Medium,Mid,24.0,75.0,33.0,Low,1.0,3.0,18.0,9.0,Low
22.0,High School,1.0,Healthcare,Medical Assistant,Medium,Senior,51.0,39.0,71.0,Low,2.0,0.0,25.0,1.0,Low
25.0,Master's,0.0,Manufacturing,Operator,Medium,Mid,64.0,38.0,28.0,Medium,5.0,6.0,44.0,14.0,High
26.0,Master's,5.0,Retail,Inventory Analyst,Medium,Senior,12.0,100.0,27.0,Low,0.0,3.0,8.0,4.0,Low
26.0,Bachelor's,5.0,Education,Teacher,Large,Mid,30.0,64.0,94.0,Low,1.0,1.0,15.0,6.0,Low
25.0,Bachelor's,4.0,Manufacturing,Operator,Medium,Mid,43.0,51.0,80.0,Low,0.0,0.0,41.0,3.0,Medium
26.0,Bachelor's,3.0,Logistics,Warehouse Manager,Large,Mid,94.0,17.0,22.0,High,9.0,26.0,46.0,75.0,High
53.0,Bachelor's,14.0,IT,Software Engineer,Small,Entry,56.0,48.0,42.0,Low,1.0,0.0,50.0,4.0,High
50.0,High School,9.0,Telecom,Support Specialist,Medium,Entry,49.0,52.0,47.0,Low,0.0,2.0,45.0,3.0,High
58.0,Bachelor's,11.0,IT,Software Engineer,Small,Mid,62.0,43.0,36.0,Medium,4.0,13.0,29.0,7.0,Medium
35.0,Bachelor's,11.0,Education,Teacher,Medium,Entry,55.0,42.0,78.0,Medium,4.0,7.0,39.0,18.0,Medium
45.0,Bachelor's,14.0,Manufacturing,Production Supervisor,Small,Senior,31.0,64.0,70.0,Low,2.0,1.0,27.0,2.0,Low
40.0,Bachelor's,9.0,Logistics,Dispatcher,Medium,Mid,28.0,73.0,66.0,Low,0.0,4.0,14.0,3.0,Low
50.0,High School,7.0,Telecom,Operations Analyst,Medium,Entry,23.0,60.0,78.0,Low,1.0,5.0,10.0,8.0,Medium
24.0,PhD,3.0,IT,Software Engineer,Medium,Mid,71.0,16.0,67.0,Medium,5.0,6.0,52.0,25.0,Medium
25.0,Bachelor's,4.0,Finance,Auditor,Small,Mid,82.0,20.0,84.0,Medium,5.0,11.0,40.0,19.0,High
32.0,Bachelor's,3.0,Healthcare,Health Analyst,Small,Entry,30.0,68.0,70.0,Low,2.0,3.0,21.0,6.0,Low
48.0,Bachelor's,7.0,IT,Data Analyst,Large,Senior,75.0,22.0,20.0,Low,2.0,5.0,70.0,5.0,High
38.0,High School,6.0,Healthcare,Medical Assistant,Small,Entry,74.0,3.0,76.0,Medium,5.0,7.0,44.0,20.0,High
33.0,Bachelor's,0.0,Healthcare,Nurse,Large,Entry,17.0,93.0,73.0,Low,0.0,0.0,15.0,8.0,Low
41.0,Master's,9.0,Manufacturing,Quality Engineer,Medium,Mid,28.0,50.0,30.0,Low,0.0,3.0,18.0,2.0,Medium
28.0,Bachelor's,5.0,IT,Data Analyst,Small,Mid,42.0,53.0,66.0,Low,2.0,0.0,34.0,3.0,Medium
22.0,Bachelor's,1.0,Retail,Inventory Analyst,Small,Mid,49.0,56.0,34.0,Low,0.0,0.0,31.0,9.0,High
31.0,Bachelor's,10.0,Retail,Inventory Analyst,Medium,Entry,82.0,27.0,89.0,Medium,4.0,9.0,60.0,6.0,High
23.0,High School,2.0,Finance,Financial Analyst,Medium,Entry,74.0,27.0,74.0,Medium,2.0,5.0,62.0,29.0,High
58.0,Master's,9.0,Telecom,Operations Analyst,Medium,Entry,54.0,36.0,49.0,Low,1.0,2.0,49.0,2.0,High
35.0,Master's,7.0,Healthcare,Nurse,Small,Entry,42.0,60.0,88.0,Low,0.0,3.0,39.0,4.0,Low
21.0,Master's,0.0,Healthcare,Nurse,Medium,Mid,27.0,58.0,95.0,Low,2.0,5.0,13.0,0.0,Low
25.0,Bachelor's,4.0,Telecom,Network Engineer,Medium,Entry,59.0,42.0,88.0,Low,1.0,2.0,56.0,5.0,High
47.0,High School,9.0,Healthcare,Health Analyst,Small,Mid,24.0,65.0,56.0,Low,1.0,3.0,17.0,4.0,Low
26.0,PhD,5.0,Education,Academic Coordinator,Small,Senior,26.0,77.0,41.0,Low,0.0,4.0,14.0,1.0,Low
43.0,Bachelor's,9.0,Retail,Sales Associate,Medium,Entry,60.0,40.0,40.0,Low,2.0,3.0,32.0,2.0,High
44.0,Master's,6.0,Healthcare,Health Analyst,Medium,Entry,33.0,72.0,38.0,Low,0.0,0.0,24.0,4.0,Low
39.0,High School,2.0,Finance,Financial Analyst,Medium,Mid,63.0,47.0,40.0,Medium,3.0,11.0,55.0,9.0,High
40.0,PhD,6.0,IT,Data Analyst,Large,Mid,61.0,38.0,89.0,Low,1.0,2.0,46.0,0.0,Medium
43.0,Bachelor's,15.0,Retail,Store Manager,Medium,Mid,90.0,21.0,68.0,Medium,4.0,7.0,89.0,20.0,High
